Scenario,Year,ghgT,ID
High Economic Growth,2013,168.3938088,1
High Economic Growth,2014,170.4463226,2
High Economic Growth,2015,169.0295274,3
High Economic Growth,2016,168.1148834,4
High Economic Growth,2017,174.1660012,5
High Economic Growth,2018,174.9750325,6
High Economic Growth,2019,174.6944629,7
High Economic Growth,2020,174.0145932,8
High Economic Growth,2021,172.5582199,9
High Economic Growth,2022,171.6816448,10
High Economic Growth,2023,170.6013156,11
High Economic Growth,2024,169.7084857,12
High Economic Growth,2025,168.8806507,13
High Economic Growth,2026,169.1721556,14
High Economic Growth,2027,169.9870369,15
High Economic Growth,2028,168.8921841,16
High Economic Growth,2029,168.5620539,17
High Economic Growth,2030,167.8972937,18
Low Economic Growth,2013,168.4167721,19
Low Economic Growth,2014,170.1240957,20
Low Economic Growth,2015,164.8744924,21
Low Economic Growth,2016,162.8550285,22
Low Economic Growth,2017,163.6138956,23
Low Economic Growth,2018,164.0373401,24
Low Economic Growth,2019,163.3770225,25
Low Economic Growth,2020,161.497172,26
Low Economic Growth,2021,161.2254678,27
Low Economic Growth,2022,159.1237712,28
Low Economic Growth,2023,156.0217243,29
Low Economic Growth,2024,154.9074049,30
Low Economic Growth,2025,153.2014171,31
Low Economic Growth,2026,151.5471001,32
Low Economic Growth,2027,151.7124624,33
Low Economic Growth,2028,151.0004035,34
Low Economic Growth,2029,149.2328927,35
Low Economic Growth,2030,146.9741298,36
Reference,1990,191.1402706,37
Reference,1990,191.1402706,38
Reference,1990,191.1402706,39
Reference,1990,191.1402706,40
Reference,1990,191.1402706,41
Reference,1990,191.1402706,42
Reference,1990,191.1402706,43
Reference,1990,191.1402706,44
Reference,1990,191.1402706,45
Reference,1990,191.1402706,46
Reference,1990,191.1402706,47
Reference,1990,191.1402706,48
Reference,1990,191.1402706,49
Reference,1990,191.1402706,50
Reference,1990,191.1402706,51
Reference,1990,191.1402706,52
Reference,1990,191.1402706,53
Reference,1990,191.1402706,54
Reference,1990,191.1402706,55
Reference,1990,191.1402706,56
Reference,1990,191.1402706,57
Reference,1990,191.1402706,58
Reference,1990,191.1402706,59
Reference,1990,191.1402706,60
Reference,1990,191.1402706,61
Reference,1990,191.1402706,62
Reference,1990,191.1402706,63
Reference,1990,191.1402706,64
Reference,1990,191.1402706,65
Reference,1990,191.1402706,66
Reference,1990,191.1402706,67
Reference,1990,191.1402706,68
Reference,1990,191.1402706,69
Reference,1990,191.1402706,70
Reference,1990,191.1402706,71
Reference,1990,191.1402706,72
Reference,1990,191.1402706,73
Reference,1990,191.1402706,74
Reference,1990,191.1402706,75
Reference,1990,191.1402706,76
Reference,1990,191.1402706,77
Reference,1990,191.1402706,78
Reference,1991,188.8893883,79
Reference,1991,188.8893883,80
Reference,1991,188.8893883,81
Reference,1991,188.8893883,82
Reference,1991,188.8893883,83
Reference,1991,188.8893883,84
Reference,1991,188.8893883,85
Reference,1991,188.8893883,86
Reference,1991,188.8893883,87
Reference,1991,188.8893883,88
Reference,1991,188.8893883,89
Reference,1991,188.8893883,90
Reference,1991,188.8893883,91
Reference,1991,188.8893883,92
Reference,1991,188.8893883,93
Reference,1991,188.8893883,94
Reference,1991,188.8893883,95
Reference,1991,188.8893883,96
Reference,1991,188.8893883,97
Reference,1991,188.8893883,98
Reference,1991,188.8893883,99
Reference,1991,188.8893883,100
Reference,1991,188.8893883,101
Reference,1991,188.8893883,102
Reference,1991,188.8893883,103
Reference,1991,188.8893883,104
Reference,1991,188.8893883,105
Reference,1991,188.8893883,106
Reference,1991,188.8893883,107
Reference,1991,188.8893883,108
Reference,1991,188.8893883,109
Reference,1991,188.8893883,110
Reference,1991,188.8893883,111
Reference,1991,188.8893883,112
Reference,1991,188.8893883,113
Reference,1991,188.8893883,114
Reference,1991,188.8893883,115
Reference,1991,188.8893883,116
Reference,1991,188.8893883,117
Reference,1991,188.8893883,118
Reference,1991,188.8893883,119
Reference,1991,188.8893883,120
Reference,1992,192.8235358,121
Reference,1992,192.8235358,122
Reference,1992,192.8235358,123
Reference,1992,192.8235358,124
Reference,1992,192.8235358,125
Reference,1992,192.8235358,126
Reference,1992,192.8235358,127
Reference,1992,192.8235358,128
Reference,1992,192.8235358,129
Reference,1992,192.8235358,130
Reference,1992,192.8235358,131
Reference,1992,192.8235358,132
Reference,1992,192.8235358,133
Reference,1992,192.8235358,134
Reference,1992,192.8235358,135
Reference,1992,192.8235358,136
Reference,1992,192.8235358,137
Reference,1992,192.8235358,138
Reference,1992,192.8235358,139
Reference,1992,192.8235358,140
Reference,1992,192.8235358,141
Reference,1992,192.8235358,142
Reference,1992,192.8235358,143
Reference,1992,192.8235358,144
Reference,1992,192.8235358,145
Reference,1992,192.8235358,146
Reference,1992,192.8235358,147
Reference,1992,192.8235358,148
Reference,1992,192.8235358,149
Reference,1992,192.8235358,150
Reference,1992,192.8235358,151
Reference,1992,192.8235358,152
Reference,1992,192.8235358,153
Reference,1992,192.8235358,154
Reference,1992,192.8235358,155
Reference,1992,192.8235358,156
Reference,1992,192.8235358,157
Reference,1992,192.8235358,158
Reference,1992,192.8235358,159
Reference,1992,192.8235358,160
Reference,1992,192.8235358,161
Reference,1992,192.8235358,162
Reference,1993,188.6057457,163
Reference,1993,188.6057457,164
Reference,1993,188.6057457,165
Reference,1993,188.6057457,166
Reference,1993,188.6057457,167
Reference,1993,188.6057457,168
Reference,1993,188.6057457,169
Reference,1993,188.6057457,170
Reference,1993,188.6057457,171
Reference,1993,188.6057457,172
Reference,1993,188.6057457,173
Reference,1993,188.6057457,174
Reference,1993,188.6057457,175
Reference,1993,188.6057457,176
Reference,1993,188.6057457,177
Reference,1993,188.6057457,178
Reference,1993,188.6057457,179
Reference,1993,188.6057457,180
Reference,1993,188.6057457,181
Reference,1993,188.6057457,182
Reference,1993,188.6057457,183
Reference,1993,188.6057457,184
Reference,1993,188.6057457,185
Reference,1993,188.6057457,186
Reference,1993,188.6057457,187
Reference,1993,188.6057457,188
Reference,1993,188.6057457,189
Reference,1993,188.6057457,190
Reference,1993,188.6057457,191
Reference,1993,188.6057457,192
Reference,1993,188.6057457,193
Reference,1993,188.6057457,194
Reference,1993,188.6057457,195
Reference,1993,188.6057457,196
Reference,1993,188.6057457,197
Reference,1993,188.6057457,198
Reference,1993,188.6057457,199
Reference,1993,188.6057457,200
Reference,1993,188.6057457,201
Reference,1993,188.6057457,202
Reference,1993,188.6057457,203
Reference,1993,188.6057457,204
Reference,1994,190.0531005,205
Reference,1994,190.0531005,206
Reference,1994,190.0531005,207
Reference,1994,190.0531005,208
Reference,1994,190.0531005,209
Reference,1994,190.0531005,210
Reference,1994,190.0531005,211
Reference,1994,190.0531005,212
Reference,1994,190.0531005,213
Reference,1994,190.0531005,214
Reference,1994,190.0531005,215
Reference,1994,190.0531005,216
Reference,1994,190.0531005,217
Reference,1994,190.0531005,218
Reference,1994,190.0531005,219
Reference,1994,190.0531005,220
Reference,1994,190.0531005,221
Reference,1994,190.0531005,222
Reference,1994,190.0531005,223
Reference,1994,190.0531005,224
Reference,1994,190.0531005,225
Reference,1994,190.0531005,226
Reference,1994,190.0531005,227
Reference,1994,190.0531005,228
Reference,1994,190.0531005,229
Reference,1994,190.0531005,230
Reference,1994,190.0531005,231
Reference,1994,190.0531005,232
Reference,1994,190.0531005,233
Reference,1994,190.0531005,234
Reference,1994,190.0531005,235
Reference,1994,190.0531005,236
Reference,1994,190.0531005,237
Reference,1994,190.0531005,238
Reference,1994,190.0531005,239
Reference,1994,190.0531005,240
Reference,1994,190.0531005,241
Reference,1994,190.0531005,242
Reference,1994,190.0531005,243
Reference,1994,190.0531005,244
Reference,1994,190.0531005,245
Reference,1994,190.0531005,246
Reference,1995,186.1104476,247
Reference,1995,186.1104476,248
Reference,1995,186.1104476,249
Reference,1995,186.1104476,250
Reference,1995,186.1104476,251
Reference,1995,186.1104476,252
Reference,1995,186.1104476,253
Reference,1995,186.1104476,254
Reference,1995,186.1104476,255
Reference,1995,186.1104476,256
Reference,1995,186.1104476,257
Reference,1995,186.1104476,258
Reference,1995,186.1104476,259
Reference,1995,186.1104476,260
Reference,1995,186.1104476,261
Reference,1995,186.1104476,262
Reference,1995,186.1104476,263
Reference,1995,186.1104476,264
Reference,1995,186.1104476,265
Reference,1995,186.1104476,266
Reference,1995,186.1104476,267
Reference,1995,186.1104476,268
Reference,1995,186.1104476,269
Reference,1995,186.1104476,270
Reference,1995,186.1104476,271
Reference,1995,186.1104476,272
Reference,1995,186.1104476,273
Reference,1995,186.1104476,274
Reference,1995,186.1104476,275
Reference,1995,186.1104476,276
Reference,1995,186.1104476,277
Reference,1995,186.1104476,278
Reference,1995,186.1104476,279
Reference,1995,186.1104476,280
Reference,1995,186.1104476,281
Reference,1995,186.1104476,282
Reference,1995,186.1104476,283
Reference,1995,186.1104476,284
Reference,1995,186.1104476,285
Reference,1995,186.1104476,286
Reference,1995,186.1104476,287
Reference,1995,186.1104476,288
Reference,1996,191.4327152,289
Reference,1996,191.4327152,290
Reference,1996,191.4327152,291
Reference,1996,191.4327152,292
Reference,1996,191.4327152,293
Reference,1996,191.4327152,294
Reference,1996,191.4327152,295
Reference,1996,191.4327152,296
Reference,1996,191.4327152,297
Reference,1996,191.4327152,298
Reference,1996,191.4327152,299
Reference,1996,191.4327152,300
Reference,1996,191.4327152,301
Reference,1996,191.4327152,302
Reference,1996,191.4327152,303
Reference,1996,191.4327152,304
Reference,1996,191.4327152,305
Reference,1996,191.4327152,306
Reference,1996,191.4327152,307
Reference,1996,191.4327152,308
Reference,1996,191.4327152,309
Reference,1996,191.4327152,310
Reference,1996,191.4327152,311
Reference,1996,191.4327152,312
Reference,1996,191.4327152,313
Reference,1996,191.4327152,314
Reference,1996,191.4327152,315
Reference,1996,191.4327152,316
Reference,1996,191.4327152,317
Reference,1996,191.4327152,318
Reference,1996,191.4327152,319
Reference,1996,191.4327152,320
Reference,1996,191.4327152,321
Reference,1996,191.4327152,322
Reference,1996,191.4327152,323
Reference,1996,191.4327152,324
Reference,1996,191.4327152,325
Reference,1996,191.4327152,326
Reference,1996,191.4327152,327
Reference,1996,191.4327152,328
Reference,1996,191.4327152,329
Reference,1996,191.4327152,330
Reference,1997,202.293068,331
Reference,1997,202.293068,332
Reference,1997,202.293068,333
Reference,1997,202.293068,334
Reference,1997,202.293068,335
Reference,1997,202.293068,336
Reference,1997,202.293068,337
Reference,1997,202.293068,338
Reference,1997,202.293068,339
Reference,1997,202.293068,340
Reference,1997,202.293068,341
Reference,1997,202.293068,342
Reference,1997,202.293068,343
Reference,1997,202.293068,344
Reference,1997,202.293068,345
Reference,1997,202.293068,346
Reference,1997,202.293068,347
Reference,1997,202.293068,348
Reference,1997,202.293068,349
Reference,1997,202.293068,350
Reference,1997,202.293068,351
Reference,1997,202.293068,352
Reference,1997,202.293068,353
Reference,1997,202.293068,354
Reference,1997,202.293068,355
Reference,1997,202.293068,356
Reference,1997,202.293068,357
Reference,1997,202.293068,358
Reference,1997,202.293068,359
Reference,1997,202.293068,360
Reference,1997,202.293068,361
Reference,1997,202.293068,362
Reference,1997,202.293068,363
Reference,1997,202.293068,364
Reference,1997,202.293068,365
Reference,1997,202.293068,366
Reference,1997,202.293068,367
Reference,1997,202.293068,368
Reference,1997,202.293068,369
Reference,1997,202.293068,370
Reference,1997,202.293068,371
Reference,1997,202.293068,372
Reference,1998,197.4519138,373
Reference,1998,197.4519138,374
Reference,1998,197.4519138,375
Reference,1998,197.4519138,376
Reference,1998,197.4519138,377
Reference,1998,197.4519138,378
Reference,1998,197.4519138,379
Reference,1998,197.4519138,380
Reference,1998,197.4519138,381
Reference,1998,197.4519138,382
Reference,1998,197.4519138,383
Reference,1998,197.4519138,384
Reference,1998,197.4519138,385
Reference,1998,197.4519138,386
Reference,1998,197.4519138,387
Reference,1998,197.4519138,388
Reference,1998,197.4519138,389
Reference,1998,197.4519138,390
Reference,1998,197.4519138,391
Reference,1998,197.4519138,392
Reference,1998,197.4519138,393
Reference,1998,197.4519138,394
Reference,1998,197.4519138,395
Reference,1998,197.4519138,396
Reference,1998,197.4519138,397
Reference,1998,197.4519138,398
Reference,1998,197.4519138,399
Reference,1998,197.4519138,400
Reference,1998,197.4519138,401
Reference,1998,197.4519138,402
Reference,1998,197.4519138,403
Reference,1998,197.4519138,404
Reference,1998,197.4519138,405
Reference,1998,197.4519138,406
Reference,1998,197.4519138,407
Reference,1998,197.4519138,408
Reference,1998,197.4519138,409
Reference,1998,197.4519138,410
Reference,1998,197.4519138,411
Reference,1998,197.4519138,412
Reference,1998,197.4519138,413
Reference,1998,197.4519138,414
Reference,1999,197.6993472,415
Reference,1999,197.6993472,416
Reference,1999,197.6993472,417
Reference,1999,197.6993472,418
Reference,1999,197.6993472,419
Reference,1999,197.6993472,420
Reference,1999,197.6993472,421
Reference,1999,197.6993472,422
Reference,1999,197.6993472,423
Reference,1999,197.6993472,424
Reference,1999,197.6993472,425
Reference,1999,197.6993472,426
Reference,1999,197.6993472,427
Reference,1999,197.6993472,428
Reference,1999,197.6993472,429
Reference,1999,197.6993472,430
Reference,1999,197.6993472,431
Reference,1999,197.6993472,432
Reference,1999,197.6993472,433
Reference,1999,197.6993472,434
Reference,1999,197.6993472,435
Reference,1999,197.6993472,436
Reference,1999,197.6993472,437
Reference,1999,197.6993472,438
Reference,1999,197.6993472,439
Reference,1999,197.6993472,440
Reference,1999,197.6993472,441
Reference,1999,197.6993472,442
Reference,1999,197.6993472,443
Reference,1999,197.6993472,444
Reference,1999,197.6993472,445
Reference,1999,197.6993472,446
Reference,1999,197.6993472,447
Reference,1999,197.6993472,448
Reference,1999,197.6993472,449
Reference,1999,197.6993472,450
Reference,1999,197.6993472,451
Reference,1999,197.6993472,452
Reference,1999,197.6993472,453
Reference,1999,197.6993472,454
Reference,1999,197.6993472,455
Reference,1999,197.6993472,456
Reference,2000,202.7400804,457
Reference,2000,202.7400804,458
Reference,2000,202.7400804,459
Reference,2000,202.7400804,460
Reference,2000,202.7400804,461
Reference,2000,202.7400804,462
Reference,2000,202.7400804,463
Reference,2000,202.7400804,464
Reference,2000,202.7400804,465
Reference,2000,202.7400804,466
Reference,2000,202.7400804,467
Reference,2000,202.7400804,468
Reference,2000,202.7400804,469
Reference,2000,202.7400804,470
Reference,2000,202.7400804,471
Reference,2000,202.7400804,472
Reference,2000,202.7400804,473
Reference,2000,202.7400804,474
Reference,2000,202.7400804,475
Reference,2000,202.7400804,476
Reference,2000,202.7400804,477
Reference,2000,202.7400804,478
Reference,2000,202.7400804,479
Reference,2000,202.7400804,480
Reference,2000,202.7400804,481
Reference,2000,202.7400804,482
Reference,2000,202.7400804,483
Reference,2000,202.7400804,484
Reference,2000,202.7400804,485
Reference,2000,202.7400804,486
Reference,2000,202.7400804,487
Reference,2000,202.7400804,488
Reference,2000,202.7400804,489
Reference,2000,202.7400804,490
Reference,2000,202.7400804,491
Reference,2000,202.7400804,492
Reference,2000,202.7400804,493
Reference,2000,202.7400804,494
Reference,2000,202.7400804,495
Reference,2000,202.7400804,496
Reference,2000,202.7400804,497
Reference,2000,202.7400804,498
Reference,2001,200.2914632,499
Reference,2001,200.2914632,500
Reference,2001,200.2914632,501
Reference,2001,200.2914632,502
Reference,2001,200.2914632,503
Reference,2001,200.2914632,504
Reference,2001,200.2914632,505
